S.no,employee_id,first_name,last_name,gender,state,city,hiredate,department,job_title,education_level,salary,performance_rating,overtime,birthdate,termdate
60,00-13895645,Richard,Hernandez,Male,Pennsylvania,Allentown,13-08-2022,Sales,Sales Representative,Bachelor,"1,11,261",Satisfactory,Yes,18-03-1996,
61,00-81688860,James,Gonzalez,Female,New York,Rochester,30-04-2021,Operations,Operations Manager,High School,"1,06,179",Satisfactory,No,18-03-1996,
62,00-34391257,Mary,Rodriguez,Male,New York,Buffalo,02-09-2018,Sales,Sales Consultant,PhD,"92,840",Satisfactory,Yes,22-03-1983,
63,00-60885459,William,Wilson,Female,New York,Buffalo,12-05-2024,IT,IT Manager,PhD,"52,540",Needs Improvement,No,25-03-1970,25-10-2026
64,00-40094589,John,Johnson,Male,New York,New York City,09-10-2017,Sales,Sales Consultant,High School,"69,973",Good,Yes,20-03-1989,
65,00-99853245,Patricia,Jackson,Male,Virginia,Virginia Beach,19-03-2020,Operations,Logistics Coordinator,Master,"71,992",Good,No,26-03-1966,
66,00-25372341,Jennifer,Martinez,Male,New York,New York City,28-06-2021,Operations,Operations Manager,Master,"99,192",Good,Yes,23-03-1979,
67,00-36619372,John,Jackson,Female,Illinois,Naperville,25-04-2024,HR,HR Coordinator,High School,"89,529",Excellent,Yes,26-03-1966,
68,00-85958181,Mary,Lopez,Female,North Carolina,Greensboro,21-10-2019,Operations,Logistics Coordinator,High School,"1,16,317",Good,Yes,22-03-1983,26-08-2022
69,00-75793759,Patricia,Wilson,Male,New York,Buffalo,16-02-2022,Sales,Sales Representative,Bachelor,"1,07,080",Good,No,19-03-1993,
70,00-97302916,William,Martin,Male,New York,Rochester,08-09-2023,IT,IT Support Specialist,PhD,"1,07,091",Good,No,26-03-1967,
71,00-42949803,John,Rodriguez,Male,North Carolina,Raleigh,25-09-2017,Operations,Inventory Specialist,PhD,"94,092",Good,Yes,17-03-2003,
72,00-53622663,Jennifer,Thomas,Male,New York,New York City,24-12-2018,Operations,Logistics Coordinator,Master,"86,655",Needs Improvement,No,26-03-1966,
73,00-47080140,Sarah,Smith,Female,New York,Rochester,21-02-2017,Marketing,Marketing Manager,Bachelor,"1,03,271",Good,No,24-03-1973,
74,00-42255732,Jessica,Thomas,Female,Michigan,Grand Rapids,22-11-2023,Customer Service,Customer Service Manager,High School,"88,566",Good,Yes,20-03-1990,
75,00-42655866,Elizabeth,Jackson,Female,New York,Buffalo,22-04-2020,IT,System Administrator,PhD,"93,357",Satisfactory,Yes,22-03-1982,
76,00-46361787,Elizabeth,Rodriguez,Female,North Carolina,Charlotte,09-05-2016,IT,Software Developer,Master,"65,670",Satisfactory,Yes,25-03-1970,
77,00-34850391,Michael,Miller,Female,New York,Rochester,06-06-2020,Operations,Logistics Coordinator,Master,"63,176",Satisfactory,No,19-03-1992,
78,00-58436637,Jennifer,Martinez,Male,New York,New York City,10-12-2022,Sales,Sales Consultant,Master,"55,965",Satisfactory,No,17-03-2001,
79,00-26948946,Jessica,Brown,Male,New York,New York City,09-06-2021,Sales,Sales Specialist,PhD,"1,12,746",Satisfactory,No,23-03-1976,
80,00-16895666,William,Thomas,Male,North Carolina,Charlotte,21-03-2024,Marketing,Marketing Manager,PhD,"1,14,454",Satisfactory,No,17-03-2000,
81,00-17195288,Robert,Jones,Female,Michigan,Warren,29-05-2018,Finance,Finance Manager,Bachelor,"65,525",Satisfactory,No,25-03-1969,
82,00-91378577,Karen,Martin,Male,New York,New York City,13-09-2023,HR,HR Assistant,PhD,"1,08,028",Satisfactory,Yes,21-03-1985,
83,00-67556566,Elizabeth,Jackson,Female,Michigan,Warren,04-09-2015,Customer Service,Customer Service Manager,Bachelor,"77,659",Good,No,20-03-1988,
84,00-31079846,Linda,Garcia,Female,New York,Rochester,04-11-2015,Sales,Sales Consultant,High School,"1,03,545",Satisfactory,No,23-03-1976,
85,00-73070585,Elizabeth,Johnson,Male,Pennsylvania,Philadelphia,26-03-2018,IT,System Administrator,PhD,"59,329",Good,Yes,20-03-1990,
86,00-93893865,Charles,Miller,Male,New York,Buffalo,15-04-2016,Customer Service,Customer Service Representative,Bachelor,"84,816",Good,Yes,19-03-1995,16-09-2017
87,00-51286958,Karen,Jackson,Female,Pennsylvania,Pittsburgh,04-12-2019,Operations,Operations Manager,PhD,"89,857",Excellent,Yes,23-03-1979,
88,00-77172238,Sarah,Thomas,Male,New York,Buffalo,26-11-2015,Customer Service,Customer Service Manager,PhD,"92,247",Satisfactory,Yes,26-03-1966,
89,00-22257687,Linda,Jackson,Female,Michigan,Warren,26-03-2015,Sales,Sales Specialist,High School,"72,962",Good,No,24-03-1974,
90,00-69355025,William,Garcia,Male,Michigan,Warren,21-11-2019,Operations,Inventory Specialist,High School,"1,11,605",Good,Yes,22-03-1982,
91,00-53091709,Patricia,Garcia,Male,New York,Buffalo,14-08-2019,Marketing,Marketing Coordinator,Master,"1,02,488",Satisfactory,Yes,25-03-1969,08-08-2020
92,00-52213778,William,Hernandez,Male,New York,New York City,31-08-2023,Finance,Accounts Payable Specialist,High School,"1,10,552",Excellent,Yes,23-03-1978,23-01-2027
93,00-58557203,Karen,Thomas,Female,New York,Rochester,16-12-2019,Operations,Operations Manager,Bachelor,"85,003",Good,No,25-03-1969,
94,00-48658617,Joseph,Thomas,Female,New York,New York City,29-04-2015,Customer Service,Customer Service Representative,Bachelor,"90,730",Good,No,25-03-1969,07-02-2018
95,00-22510327,Linda,Brown,Female,Michigan,Grand Rapids,26-04-2016,IT,Software Developer,PhD,"88,254",Satisfactory,No,24-03-1972,
96,00-65766169,Jessica,Thomas,Male,New York,New York City,14-02-2020,Operations,Operations Analyst,PhD,"74,983",Needs Improvement,No,26-03-1966,
97,00-28321839,John,Rodriguez,Male,New York,Buffalo,24-10-2018,Marketing,Content Creator,High School,"87,072",Satisfactory,No,21-03-1985,
98,00-87835998,Jessica,Jones,Male,New York,Buffalo,15-01-2021,Sales,Sales Representative,Master,"93,573",Needs Improvement,No,25-03-1969,
99,00-60628276,Joseph,Hernandez,Female,New York,New York City,27-10-2022,Sales,Sales Consultant,PhD,"80,613",Good,No,23-03-1978,28-06-2027
100,00-73481797,Richard,Gonzalez,Female,New York,Rochester,20-11-2023,IT,Software Developer,PhD,"54,852",Needs Improvement,No,18-03-1996,
101,00-89212676,David,Brown,Male,New York,Buffalo,13-02-2016,Sales,Sales Representative,High School,"68,894",Satisfactory,No,23-03-1978,
102,00-30718012,John,Thomas,Female,Michigan,Grand Rapids,18-10-2018,Customer Service,Help Desk Technician,High School,"93,065",Needs Improvement,No,25-03-1970,
103,00-52501540,Jessica,Moore,Male,New York,New York City,04-12-2021,Customer Service,Customer Service Manager,Bachelor,"87,667",Satisfactory,Yes,20-03-1990,
104,00-68246664,Patricia,Brown,Female,New York,Buffalo,12-11-2016,Customer Service,Support Specialist,High School,"56,028",Needs Improvement,Yes,21-03-1984,
105,00-49375156,Barbara,Lopez,Male,New York,Buffalo,19-08-2016,Customer Service,Customer Service Representative,PhD,"73,600",Satisfactory,No,19-03-1994,
106,00-91804602,Richard,Martin,Male,New York,Rochester,13-09-2017,Sales,Sales Representative,Bachelor,"80,433",Excellent,No,24-03-1975,
107,00-71682508,William,Smith,Male,Michigan,Grand Rapids,24-03-2018,Customer Service,Customer Service Representative,High School,"1,07,898",Good,No,22-03-1982,
108,00-50151803,Susan,Rodriguez,Male,North Carolina,Raleigh,24-06-2024,Sales,Sales Specialist,Bachelor,"1,00,422",Good,Yes,24-03-1974,10-02-2027
109,00-86762164,Barbara,Jackson,Male,New York,Buffalo,04-11-2022,Sales,Sales Specialist,High School,"1,01,879",Satisfactory,No,21-03-1987,08-03-2028
110,00-16582607,Karen,Thomas,Female,New York,Buffalo,13-09-2023,Operations,Operations Analyst,Master,"78,705",Good,No,19-03-1992,
111,00-98473848,Robert,Brown,Male,North Carolina,Greensboro,01-04-2022,Operations,Operations Manager,Master,"1,07,779",Good,No,17-03-2002,
112,00-27637794,John,Martinez,Female,New York,Buffalo,20-05-2023,IT,IT Support Specialist,Bachelor,"76,318",Satisfactory,No,18-03-1996,
113,00-59104566,Thomas,Taylor,Male,New York,Buffalo,24-04-2024,IT,Software Developer,Master,"1,13,156",Excellent,No,21-03-1986,
114,00-55461591,Patricia,Anderson,Male,New York,New York City,30-07-2016,Marketing,SEO Specialist,PhD,"97,942",Satisfactory,No,18-03-1999,
115,00-11868130,William,Moore,Male,Pennsylvania,Philadelphia,06-02-2020,Marketing,Content Creator,Master,"99,941",Satisfactory,No,22-03-1981,25-11-2021
116,00-73280554,James,Martin,Male,New York,Rochester,05-09-2018,Customer Service,Customer Service Representative,High School,"1,10,852",Good,Yes,21-03-1985,
117,00-25659979,Robert,Johnson,Female,Michigan,Detroit,31-05-2018,Finance,Accounts Payable Specialist,High School,"62,739",Good,No,20-03-1989,
118,00-28208520,Richard,Anderson,Female,New York,Buffalo,09-07-2022,IT,IT Support Specialist,Bachelor,"1,04,379",Good,Yes,18-03-1998,
119,00-92631441,Susan,Rodriguez,Female,New York,New York City,28-09-2022,Sales,Sales Specialist,Bachelor,"1,08,115",Good,No,23-03-1976,
120,00-58678896,Patricia,Lopez,Male,New York,Rochester,26-03-2022,Sales,Sales Specialist,High School,"1,02,184",Good,Yes,21-03-1987,
121,00-26395999,Joseph,Williams,Female,New York,Rochester,18-05-2017,Sales,Sales Manager,High School,"93,713",Excellent,Yes,20-03-1989,
122,00-85776373,Michael,Williams,Male,New York,Rochester,28-04-2017,Sales,Sales Consultant,Bachelor,"93,064",Good,No,19-03-1995,
123,00-89991301,James,Rodriguez,Female,Pennsylvania,Philadelphia,16-06-2016,Operations,Logistics Coordinator,Bachelor,"64,408",Excellent,No,17-03-2003,
124,00-58082464,Linda,Jackson,Male,New York,Buffalo,06-03-2015,Sales,Sales Consultant,Master,"56,868",Satisfactory,No,18-03-1996,
125,00-80610004,Patricia,Williams,Female,New York,Buffalo,11-01-2020,Sales,Sales Specialist,High School,"1,09,245",Good,No,24-03-1972,
126,00-92558242,Mary,Taylor,Female,New York,Buffalo,20-02-2020,Operations,Operations Manager,High School,"1,12,781",Excellent,Yes,23-03-1979,
127,00-24490391,Jessica,Anderson,Male,Michigan,Detroit,27-11-2015,Operations,Logistics Coordinator,Bachelor,"58,609",Good,Yes,18-03-1996,
128,00-94970119,Charles,Moore,Female,New York,Rochester,24-08-2018,Sales,Sales Representative,Master,"1,09,469",Good,No,24-03-1972,
129,00-23311507,Patricia,Moore,Female,New York,Rochester,15-09-2024,Sales,Sales Consultant,PhD,"1,09,186",Good,Yes,20-03-1990,
130,00-70867592,Richard,Wilson,Male,New York,Rochester,25-01-2016,Operations,Logistics Coordinator,PhD,"90,963",Satisfactory,No,20-03-1988,
131,00-30486849,Jessica,Williams,Female,New York,New York City,29-04-2024,Operations,Operations Manager,High School,"1,06,606",Satisfactory,No,18-03-1998,
132,00-60015814,Robert,Moore,Female,New York,New York City,30-07-2021,Sales,Sales Specialist,High School,"1,03,845",Satisfactory,No,22-03-1982,
133,00-66765623,Mary,Martinez,Female,Michigan,Warren,03-07-2018,Operations,Logistics Coordinator,High School,"1,16,507",Good,Yes,20-03-1991,
134,00-74718365,Linda,Brown,Female,New York,Buffalo,24-06-2024,IT,System Administrator,High School,"86,512",Good,Yes,25-03-1968,
135,00-67594492,Sarah,Martin,Female,Michigan,Warren,27-07-2022,IT,IT Manager,Master,"53,794",Good,No,19-03-1993,
136,00-51471222,David,Lopez,Male,New York,New York City,13-01-2017,Marketing,SEO Specialist,PhD,"59,120",Needs Improvement,No,19-03-1995,
137,00-14114726,John,Taylor,Male,New York,New York City,21-03-2019,Sales,Sales Representative,PhD,"94,681",Satisfactory,No,19-03-1994,
138,00-53537934,Charles,Martin,Male,New York,New York City,27-11-2024,Sales,Sales Manager,Bachelor,"70,632",Satisfactory,Yes,17-03-2001,
139,00-46521025,Joseph,Wilson,Female,New York,Buffalo,22-10-2021,Finance,Accounts Payable Specialist,PhD,"85,804",Good,Yes,20-03-1991,
140,00-25276327,Barbara,Wilson,Male,New York,New York City,06-03-2018,Operations,Inventory Specialist,Master,"55,952",Good,No,20-03-1990,
141,00-90440034,Mary,Smith,Male,New York,New York City,19-05-2018,Sales,Sales Consultant,Bachelor,"83,491",Good,Yes,21-03-1986,
142,00-11037490,Jessica,Wilson,Male,New York,New York City,13-06-2016,Operations,Inventory Specialist,Bachelor,"1,15,570",Good,No,25-03-1969,
143,00-57535513,John,Gonzalez,Male,New York,Rochester,23-06-2015,Finance,Accounts Payable Specialist,High School,"1,10,260",Good,No,17-03-2000,
144,00-87277086,Susan,Jackson,Male,Ohio,Cleveland,16-12-2022,Customer Service,Help Desk Technician,Master,"65,096",Good,No,23-03-1979,09-04-2025
145,00-33068427,Karen,Anderson,Male,New York,Rochester,22-01-2019,IT,IT Manager,PhD,"63,875",Satisfactory,No,20-03-1989,
146,00-63747464,Thomas,Williams,Male,New York,Buffalo,05-10-2024,Operations,Logistics Coordinator,Master,"79,041",Good,Yes,22-03-1983,
147,00-20251466,Thomas,Brown,Female,Ohio,Cincinnati,19-09-2020,Operations,Operations Analyst,Master,"96,019",Good,No,19-03-1995,
148,00-29655410,William,Miller,Male,New York,New York City,03-10-2021,Customer Service,Customer Service Representative,High School,"73,218",Good,No,24-03-1973,
149,00-85663295,Charles,Anderson,Male,New York,Rochester,21-11-2024,Operations,Logistics Coordinator,Master,"69,786",Good,Yes,23-03-1976,11-11-2027
150,00-94743076,Elizabeth,Rodriguez,Male,New York,Rochester,19-08-2015,Operations,Logistics Coordinator,High School,"90,685",Satisfactory,No,24-03-1975,
151,00-17635653,Barbara,Martinez,Female,Michigan,Detroit,25-03-2022,Operations,Operations Manager,PhD,"1,10,648",Good,Yes,26-03-1967,
152,00-15505975,Joseph,Jackson,Male,New York,Rochester,10-02-2017,Operations,Logistics Coordinator,PhD,"1,15,715",Satisfactory,No,19-03-1995,
153,00-70468188,Patricia,Hernandez,Female,New York,Rochester,12-12-2015,Sales,Sales Consultant,High School,"82,472",Satisfactory,Yes,23-03-1976,
154,00-80339290,Thomas,Martin,Male,Pennsylvania,Philadelphia,30-01-2019,Customer Service,Support Specialist,Master,"1,00,779",Good,No,23-03-1978,
155,00-90246882,Mary,Hernandez,Female,North Carolina,Charlotte,12-09-2018,IT,IT Manager,PhD,"87,243",Good,No,20-03-1988,
156,00-98122539,Karen,Jones,Female,New York,Buffalo,30-11-2015,Operations,Operations Analyst,Master,"90,662",Satisfactory,No,23-03-1979,
157,00-21370793,Elizabeth,Moore,Male,New York,Buffalo,20-03-2022,Sales,Sales Specialist,Bachelor,"1,18,995",Good,Yes,18-03-1999,
158,00-66828640,Thomas,Lopez,Male,New York,New York City,25-01-2019,Marketing,Content Creator,Bachelor,"78,074",Good,No,22-03-1983,
159,00-75266178,Michael,Davis,Female,New York,New York City,26-09-2016,Finance,Finance Manager,Master,"63,256",Good,Yes,24-03-1972,
160,00-80669879,Mary,Hernandez,Male,Michigan,Warren,20-06-2016,Operations,Inventory Specialist,Bachelor,"71,266",Satisfactory,No,19-03-1993,
161,00-93851247,Jennifer,Anderson,Male,New York,New York City,10-08-2019,Operations,Logistics Coordinator,Bachelor,"1,08,222",Good,No,21-03-1986,
162,00-70254091,Linda,Moore,Male,Michigan,Detroit,21-06-2018,Customer Service,Help Desk Technician,Bachelor,"98,213",Good,Yes,25-03-1968,
163,00-71965637,Elizabeth,Gonzalez,Male,Ohio,Cincinnati,30-11-2020,IT,IT Support Specialist,Bachelor,"76,174",Needs Improvement,No,26-03-1966,
164,00-43554863,Mary,Thomas,Male,New York,Buffalo,21-03-2021,Marketing,Marketing Manager,High School,"87,363",Excellent,No,18-03-1999,
165,00-46613428,Joseph,Taylor,Male,New York,New York City,26-04-2024,Sales,Sales Representative,High School,"79,102",Good,No,23-03-1976,
166,00-13579612,Susan,Johnson,Male,New York,Buffalo,18-08-2020,Sales,Sales Specialist,Bachelor,"1,00,615",Satisfactory,No,18-03-1999,
167,00-13783268,David,Brown,Female,New York,Rochester,16-04-2022,IT,System Administrator,Bachelor,"68,035",Good,No,17-03-2002,
168,00-73411827,Robert,Thomas,Female,Michigan,Grand Rapids,25-11-2021,Sales,Sales Manager,High School,"52,490",Good,No,20-03-1988,
169,00-30068183,Sarah,Martin,Female,New York,Rochester,30-09-2019,Sales,Sales Manager,Master,"81,147",Needs Improvement,Yes,21-03-1985,
170,00-42002808,Susan,Martin,Female,New York,Buffalo,15-09-2015,Customer Service,Customer Service Manager,PhD,"52,154",Good,No,24-03-1972,
171,00-29270557,Elizabeth,Wilson,Female,Illinois,Chicago,23-11-2021,Sales,Sales Specialist,Bachelor,"1,04,600",Satisfactory,Yes,19-03-1993,
172,00-21490910,Thomas,Lopez,Female,New York,New York City,24-11-2020,Finance,Finance Manager,PhD,"1,11,621",Good,Yes,17-03-2002,
173,00-60103798,William,Smith,Male,New York,Buffalo,04-11-2023,Operations,Operations Manager,Master,"81,604",Good,No,18-03-1998,
174,00-54629892,Robert,Johnson,Male,New York,Buffalo,14-02-2021,Sales,Sales Specialist,Bachelor,"1,10,899",Satisfactory,No,24-03-1974,
175,00-28099607,John,Anderson,Female,New York,New York City,16-04-2018,Operations,Operations Analyst,High School,"76,144",Good,Yes,17-03-2002,
176,00-51617680,Thomas,Gonzalez,Female,Virginia,Richmond,23-04-2020,Operations,Logistics Coordinator,High School,"75,048",Excellent,Yes,21-03-1986,
177,00-16416148,David,Rodriguez,Female,New York,New York City,19-12-2023,HR,Recruiter,PhD,"1,02,431",Excellent,No,23-03-1976,
178,00-61894582,David,Garcia,Female,New York,Buffalo,05-10-2022,Sales,Sales Representative,Master,"1,18,062",Excellent,Yes,21-03-1987,
179,00-66975380,John,Wilson,Male,North Carolina,Greensboro,22-03-2024,Customer Service,Customer Service Representative,Master,"92,101",Good,No,18-03-1998,02-06-2028
180,00-49680122,Elizabeth,Anderson,Female,New York,Rochester,18-01-2023,Customer Service,Help Desk Technician,Bachelor,"1,08,183",Excellent,Yes,22-03-1982,
181,00-57319709,Karen,Wilson,Female,New York,Buffalo,04-03-2022,Sales,Sales Manager,High School,"1,03,242",Good,No,22-03-1981,
182,00-31473054,James,Jones,Male,Ohio,Cincinnati,09-08-2022,Sales,Sales Representative,High School,"66,545",Good,No,17-03-2000,
183,00-96592295,Barbara,Lopez,Male,New York,Buffalo,12-05-2021,Operations,Operations Manager,Bachelor,"1,08,972",Good,No,22-03-1981,
184,00-20319387,Charles,Jones,Female,New York,Rochester,12-02-2019,Customer Service,Help Desk Technician,Master,"86,528",Satisfactory,Yes,20-03-1989,
185,00-13478029,Jennifer,Thomas,Male,New York,Rochester,05-05-2019,Customer Service,Customer Service Manager,Master,"84,116",Satisfactory,No,23-03-1976,
186,00-92124765,Elizabeth,Thomas,Female,New York,New York City,17-05-2016,Operations,Operations Analyst,High School,"1,09,250",Satisfactory,Yes,19-03-1993,
187,00-69741812,John,Hernandez,Female,Ohio,Cincinnati,24-11-2018,Customer Service,Customer Service Manager,Master,"89,315",Good,Yes,19-03-1994,
